timestamp,object_id,object_type,zone_name,confidence,x,y,width,height,motion_score
2026-01-14 13:58:36.265109,1,person,,0.16359,474,347,166,132,0.45184407552083333
2026-01-14 13:58:36.267402,1,person,Counter,0.16359,474,347,166,132,0.45184407552083333
2026-01-14 13:58:36.268341,2,person,,0.02665,444,322,111,50,0.45184407552083333
2026-01-14 13:58:36.268972,2,person,Counter,0.02665,444,322,111,50,0.45184407552083333
2026-01-14 13:58:36.269292,2,person,Table,0.02665,444,322,111,50,0.45184407552083333
2026-01-14 13:58:36.269655,3,person,,0.03247,104,306,105,50,0.45184407552083333
2026-01-14 13:58:36.270059,3,person,Counter,0.03247,104,306,105,50,0.45184407552083333
2026-01-14 13:58:36.271090,3,person,Table,0.03247,104,306,105,50,0.45184407552083333
2026-01-14 13:58:36.272701,4,person,,0.04571,569,278,71,72,0.45184407552083333
2026-01-14 13:58:36.274003,5,person,,0.06842,286,270,192,78,0.45184407552083333
2026-01-14 13:58:36.274895,5,person,Counter,0.06842,286,270,192,78,0.45184407552083333
2026-01-14 13:58:36.275681,5,person,Table,0.06842,286,270,192,78,0.45184407552083333
2026-01-14 13:58:36.276729,6,person,,0.02891,135,263,74,45,0.45184407552083333
2026-01-14 13:58:36.277577,6,person,Table,0.02891,135,263,74,45,0.45184407552083333
2026-01-14 13:58:36.278190,6,person,Entrance,0.02891,135,263,74,45,0.45184407552083333
2026-01-14 13:58:36.278626,7,person,,0.05427,329,224,162,75,0.45184407552083333
2026-01-14 13:58:36.279398,7,person,Table,0.05427,329,224,162,75,0.45184407552083333
2026-01-14 13:58:36.280600,8,person,,0.1171,461,201,179,104,0.45184407552083333
2026-01-14 13:58:36.281765,8,person,Table,0.1171,461,201,179,104,0.45184407552083333
2026-01-14 13:58:36.282659,9,person,,0.02344,270,201,91,30,0.45184407552083333
2026-01-14 13:58:36.283713,9,person,Table,0.02344,270,201,91,30,0.45184407552083333
2026-01-14 13:58:36.284466,10,person,,0.02051,125,201,55,50,0.45184407552083333
2026-01-14 13:58:36.285307,10,person,Table,0.02051,125,201,55,50,0.45184407552083333
2026-01-14 13:58:36.285907,10,person,Entrance,0.02051,125,201,55,50,0.45184407552083333
2026-01-14 13:58:36.286452,11,person,,0.02029,381,172,75,50,0.45184407552083333
2026-01-14 13:58:36.287639,11,person,Table,0.02029,381,172,75,50,0.45184407552083333
2026-01-14 13:58:36.288484,12,person,,0.07208,14,99,106,88,0.45184407552083333
2026-01-14 13:58:36.289513,12,person,Entrance,0.07208,14,99,106,88,0.45184407552083333
2026-01-14 13:58:36.290257,13,person,,0.07529,113,87,108,119,0.45184407552083333
2026-01-14 13:58:36.291439,13,person,Table,0.07529,113,87,108,119,0.45184407552083333
2026-01-14 13:58:36.292247,13,person,Entrance,0.07529,113,87,108,119,0.45184407552083333
2026-01-14 13:58:36.292800,14,person,,0.02042,0,74,48,36,0.45184407552083333
2026-01-14 13:58:36.294072,15,person,,0.02434,370,18,61,61,0.45184407552083333
2026-01-14 13:58:36.295242,16,person,,0.14986,470,0,170,129,0.45184407552083333
2026-01-14 13:58:36.296120,17,person,,0.07101,445,0,153,59,0.45184407552083333
2026-01-14 13:58:36.296937,18,person,,0.07916,288,0,133,112,0.45184407552083333
2026-01-14 13:58:36.297944,19,person,,0.02381,178,0,70,50,0.45184407552083333
2026-01-14 13:58:36.298984,20,person,,0.0803,49,0,147,88,0.45184407552083333
2026-01-14 13:58:36.752821,1,person,,0.05777,90,400,131,80,0.42089192708333334
2026-01-14 13:58:36.753927,1,person,Counter,0.05777,90,400,131,80,0.42089192708333334
2026-01-14 13:58:36.755178,2,person,,0.03925,18,379,112,60,0.42089192708333334
2026-01-14 13:58:36.756359,2,person,Counter,0.03925,18,379,112,60,0.42089192708333334
2026-01-14 13:58:36.758039,3,person,,0.0339,131,371,87,53,0.42089192708333334
2026-01-14 13:58:36.758876,3,person,Counter,0.0339,131,371,87,53,0.42089192708333334
2026-01-14 13:58:36.759655,4,person,,0.06634,13,210,153,84,0.42089192708333334
2026-01-14 13:58:36.760482,4,person,Entrance,0.06634,13,210,153,84,0.42089192708333334
2026-01-14 13:58:36.760948,5,person,,0.0799,461,163,128,125,0.42089192708333334
2026-01-14 13:58:36.761546,5,person,Table,0.0799,461,163,128,125,0.42089192708333334
2026-01-14 13:58:36.762171,6,person,,0.04212,352,150,101,64,0.42089192708333334
2026-01-14 13:58:36.763161,6,person,Table,0.04212,352,150,101,64,0.42089192708333334
2026-01-14 13:58:36.764267,7,person,,0.02003,39,138,75,27,0.42089192708333334
2026-01-14 13:58:36.765544,7,person,Entrance,0.02003,39,138,75,27,0.42089192708333334
2026-01-14 13:58:36.766228,8,person,,0.13228,92,39,221,114,0.42089192708333334
2026-01-14 13:58:36.767051,8,person,Table,0.13228,92,39,221,114,0.42089192708333334
2026-01-14 13:58:36.768184,8,person,Entrance,0.13228,92,39,221,114,0.42089192708333334
2026-01-14 13:58:36.768977,9,person,,0.0919,310,36,173,129,0.42089192708333334
2026-01-14 13:58:36.770276,9,person,Table,0.0919,310,36,173,129,0.42089192708333334
2026-01-14 13:58:36.771465,10,person,,0.04866,458,0,100,80,0.42089192708333334
2026-01-14 13:58:37.641028,1,person,,0.03104,319,343,80,53,0.045965169270833335
2026-01-14 13:58:37.642301,1,person,Counter,0.03104,319,343,80,53,0.045965169270833335
2026-01-14 13:58:37.705092,1,person,,0.0351,146,365,98,45,0.08512369791666667
2026-01-14 13:58:37.706276,1,person,Counter,0.0351,146,365,98,45,0.08512369791666667
2026-01-14 13:58:37.707598,2,person,,0.07549,271,328,132,79,0.08512369791666667
2026-01-14 13:58:37.708548,2,person,Counter,0.07549,271,328,132,79,0.08512369791666667
2026-01-14 13:58:37.709373,2,person,Table,0.07549,271,328,132,79,0.08512369791666667
2026-01-14 13:58:37.710632,3,person,,0.03957,237,262,93,78,0.08512369791666667
2026-01-14 13:58:37.711873,3,person,Counter,0.03957,237,262,93,78,0.08512369791666667
