timestamp,object_id,object_type,zone_name,confidence,x,y,width,height,motion_score
2026-01-11 17:50:49.433178,1,person,,0.04144,253,422,68,56,0.22748372395833333
2026-01-11 17:50:49.434267,1,person,Counter,0.04144,253,422,68,56,0.22748372395833333
2026-01-11 17:50:49.435498,2,person,,0.21301,0,394,220,86,0.22748372395833333
2026-01-11 17:50:49.435903,2,person,Counter,0.21301,0,394,220,86,0.22748372395833333
2026-01-11 17:50:49.436344,3,person,,0.44074,331,379,288,101,0.22748372395833333
2026-01-11 17:50:49.436664,3,person,Counter,0.44074,331,379,288,101,0.22748372395833333
2026-01-11 17:50:49.437045,4,person,,0.02073,226,377,48,47,0.22748372395833333
2026-01-11 17:50:49.437475,4,person,Counter,0.02073,226,377,48,47,0.22748372395833333
2026-01-11 17:50:49.440110,5,person,,0.03233,323,231,65,104,0.22748372395833333
2026-01-11 17:50:49.441353,5,person,Counter,0.03233,323,231,65,104,0.22748372395833333
2026-01-11 17:50:49.442334,5,person,Table,0.03233,323,231,65,104,0.22748372395833333
2026-01-11 17:50:49.442853,6,person,,0.03435,282,223,28,127,0.22748372395833333
2026-01-11 17:50:49.443263,6,person,Counter,0.03435,282,223,28,127,0.22748372395833333
2026-01-11 17:50:49.443594,6,person,Table,0.03435,282,223,28,127,0.22748372395833333
2026-01-11 17:50:49.443890,7,person,,0.03667,165,217,94,54,0.22748372395833333
2026-01-11 17:50:49.444170,7,person,Table,0.03667,165,217,94,54,0.22748372395833333
2026-01-11 17:50:49.444462,7,person,Entrance,0.03667,165,217,94,54,0.22748372395833333
2026-01-11 17:50:49.444850,8,person,,0.15979,59,203,99,173,0.22748372395833333
2026-01-11 17:50:49.445330,8,person,Counter,0.15979,59,203,99,173,0.22748372395833333
2026-01-11 17:50:49.445874,8,person,Entrance,0.15979,59,203,99,173,0.22748372395833333
2026-01-11 17:50:49.446184,9,person,,0.08695,241,150,140,67,0.22748372395833333
2026-01-11 17:50:49.446620,9,person,Table,0.08695,241,150,140,67,0.22748372395833333
2026-01-11 17:50:49.447126,9,person,Entrance,0.08695,241,150,140,67,0.22748372395833333
2026-01-11 17:50:49.447729,10,person,,0.03409,572,0,68,63,0.22748372395833333
2026-01-11 17:50:49.448378,11,person,,0.11432,376,0,106,127,0.22748372395833333
2026-01-11 17:50:49.504501,1,person,,0.04259,236,382,94,67,0.16517415364583332
2026-01-11 17:50:49.504972,1,person,Counter,0.04259,236,382,94,67,0.16517415364583332
2026-01-11 17:50:49.505362,2,person,,0.07571,446,339,186,78,0.16517415364583332
2026-01-11 17:50:49.505653,2,person,Counter,0.07571,446,339,186,78,0.16517415364583332
2026-01-11 17:50:49.505933,2,person,Table,0.07571,446,339,186,78,0.16517415364583332
2026-01-11 17:50:49.506341,3,person,,0.02506,87,333,89,62,0.16517415364583332
2026-01-11 17:50:49.506949,3,person,Counter,0.02506,87,333,89,62,0.16517415364583332
2026-01-11 17:50:49.507617,3,person,Table,0.02506,87,333,89,62,0.16517415364583332
2026-01-11 17:50:49.508199,4,person,,0.02149,550,299,65,49,0.16517415364583332
2026-01-11 17:50:49.509026,5,person,,0.025,327,293,63,63,0.16517415364583332
2026-01-11 17:50:49.509530,5,person,Counter,0.025,327,293,63,63,0.16517415364583332
2026-01-11 17:50:49.509991,5,person,Table,0.025,327,293,63,63,0.16517415364583332
2026-01-11 17:50:49.510573,6,person,,0.03726,166,290,67,73,0.16517415364583332
2026-01-11 17:50:49.510983,6,person,Counter,0.03726,166,290,67,73,0.16517415364583332
